iter	Logloss
0	0.6810105648
1	0.6691746429
2	0.6577452105
3	0.6468272508
4	0.6361673374
5	0.6260423762
6	0.6165109564
7	0.6066646264
8	0.597854801
9	0.5885946301
10	0.57986393
11	0.5713318829
12	0.5632098314
13	0.555373127
14	0.5473366824
15	0.5388493169
16	0.5315497774
17	0.5241669265
18	0.5174617263
19	0.51065113
20	0.50422588
21	0.4980704567
22	0.4921497435
23	0.486171266
24	0.4800216002
25	0.4740390515
26	0.4685370164
27	0.4632306191
28	0.4576029394
29	0.4525957353
30	0.4476021373
31	0.4429404383
32	0.4384864642
33	0.4340366012
34	0.4297140936
35	0.4251112904
36	0.4210551617
37	0.416213168
38	0.4116513167
39	0.407929339
40	0.4042704536
41	0.4000222352
42	0.3966838441
43	0.3930786054
44	0.3898743433
45	0.3867195916
46	0.3835926417
47	0.3806786626
48	0.3772076811
49	0.3734181089
50	0.370155571
51	0.3673592908
52	0.3645802011
53	0.3614736415
54	0.3589451855
55	0.3561491806
56	0.3538922423
57	0.351123738
58	0.3491322275
59	0.3464711961
60	0.344411143
61	0.3426803313
62	0.3408775702
63	0.3393064508
64	0.3373181093
65	0.3353973879
66	0.3330781393
67	0.3312848612
68	0.3291464762
69	0.3273966778
70	0.3252635251
71	0.323469816
72	0.3219842025
73	0.3206111924
74	0.3190006409
75	0.3176001338
76	0.3160834154
77	0.3142650688
78	0.3130048926
79	0.3118733256
80	0.3106054281
81	0.3089544389
82	0.3076121373
