iter	Passed	Remaining
0	415	415344
1	675	336930
2	932	309748
3	1138	283401
4	1354	269575
5	1622	268849
6	1786	253427
7	2028	251523
8	2349	258731
9	2660	263387
10	2907	261437
11	3256	268140
12	3410	258921
13	3626	255381
14	3797	249353
15	4012	246740
16	4171	241193
17	4323	235865
18	4467	230683
19	4616	226196
20	4892	228065
21	5068	225322
22	5323	226118
23	5522	224588
24	5693	222029
25	5925	221978
26	6093	219579
27	6300	218701
28	6550	219324
29	6722	217368
30	6911	216055
31	7099	214768
32	7263	212840
33	7424	210929
34	7627	210307
35	7787	208541
36	7960	207191
37	8144	206192
38	8309	204751
39	8482	203590
40	8688	203225
41	8850	201878
42	9078	202045
43	9275	201531
44	9495	201524
45	9659	200332
46	9929	201335
47	10080	199921
48	10284	199612
49	10437	198318
50	10803	201035
51	11026	201026
52	11231	200681
53	11532	202026
54	11699	201013
55	11882	200306
56	12067	199640
57	12277	199395
58	12499	199352
59	12677	198620
60	12953	199402
61	13150	198955
62	13433	199789
63	13880	203003
64	14429	207562
65	14629	207025
66	15013	209071
67	15216	208551
68	15403	207830
69	15630	207661
70	16063	210177
71	16255	209520
72	16451	208915
73	16738	209452
74	16961	209190
75	17164	208684
76	17318	207599
77	17490	206744
78	17747	206903
79	17898	205834
80	18051	204811
81	18246	204267
82	18739	207034
83	18923	206355
84	19085	205454
85	19323	205367
86	19512	204766
87	19688	204042
88	19842	203108
89	20027	202496
90	20186	201639
91	20356	200911
92	20519	200116
93	20685	199372
94	20857	198690
95	21028	198020
96	21479	199959
97	21710	199825
98	21950	199771
99	22188	199697
100	22397	199362
101	22613	199087
102	22796	198528
103	22945	197687
104	23179	197573
105	23382	197208
106	23531	196389
107	23742	196099
108	23946	195747
109	24134	195270
110	24329	194852
111	24489	194163
112	24647	193473
113	24817	192877
114	24965	192128
115	25464	194054
116	25630	193433
117	25816	192969
118	26174	193776
119	26637	195338
120	26832	194923
121	27029	194522
122	27252	194314
123	27427	193759
124	27594	193161
125	27751	192501
126	27893	191741
127	28092	191382
128	28246	190716
129	28419	190194
130	28580	189592
131	28993	190655
132	29523	192460
133	29698	191932
134	29901	191589
135	30092	191178
136	30279	190740
137	30436	190117
138	30620	189670
139	30812	189275
140	30991	188808
141	31273	188961
142	31486	188701
143	31638	188071
144	31845	187779
145	32135	187967
146	32529	188758
147	32689	188184
148	32847	187605
149	32989	186940
150	33157	186427
151	33382	186239
152	33601	186016
153	33811	185745
154	34014	185435
155	34435	186305
156	34594	185754
157	34823	185577
158	34993	185089
159	35155	184565
160	35385	184401
161	35603	184170
162	35772	183688
163	36431	185709
164	36672	185584
165	36854	185159
166	37095	185031
167	37244	184450
168	37404	183923
169	37548	183323
170	37794	183225
171	38029	183072
172	38203	182624
173	38388	182235
174	38591	181932
175	38874	182002
176	39020	181434
177	39216	181100
178	39442	180907
179	39605	180425
180	39805	180115
181	39948	179550
182	40163	179309
183	40432	179308
184	40601	178864
185	40825	178665
186	41091	178647
187	41252	178177
188	41418	177728
189	41702	177782
190	41879	177386
191	42119	177252
192	42279	176783
193	42461	176414
194	43072	177811
195	43312	177667
196	43566	177583
197	43996	178208
198	44176	177817
199	44375	177503
200	44564	177150
201	44736	176732
202	45236	177604
203	45410	177190
204	45635	176975
205	45848	176717
206	46047	176403
207	46231	176035
208	46608	176398
209	46917	176500
210	47132	176244
211	47340	175964
212	47678	176162
213	47830	175677
214	48040	175404
215	48211	174990
216	48485	174948
217	48783	174992
218	49118	175165
219	49311	174832
220	49573	174742
221	49753	174360
222	49918	173932
223	50105	173581
224	50321	173327
225	50471	172853
226	50654	172493
227	50802	172014
228	51041	171848
229	51285	171696
230	51627	171866
231	51850	171642
232	52114	171553
233	52303	171215
234	52464	170787
235	52635	170395
236	52900	170306
237	53105	170026
238	53337	169831
239	53849	170521
240	54082	170325
241	54293	170059
242	54534	169888
243	55007	170434
244	55242	170236
245	55510	170142
246	55802	170117
247	56049	169957
248	56246	169644
249	56404	169214
250	56717	169247
251	56862	168781
252	57028	168381
253	57680	169408
254	57914	169199
255	58138	168964
256	58362	168728
257	58562	168423
258	58798	168222
259	58990	167895
260	59243	167744
261	59409	167343
262	59862	167751
263	60068	167462
264	60261	167139
265	60531	167031
266	60782	166866
267	61005	166628
268	61237	166412
269	61420	166063
270	61620	165761
271	61868	165590
272	62152	165511
273	62330	165152
274	62503	164783
275	62682	164428
276	62936	164271
277	63207	164158
278	63607	164375
279	63843	164167
280	64007	163776
281	64255	163601
282	64469	163337
283	64703	163126
284	64874	162755
285	65095	162510
286	65573	162906
287	65778	162619
288	65946	162240
289	66118	161877
290	66324	161595
291	66525	161302
292	66753	161075
293	66944	160757
294	67357	160972
295	67616	160817
296	68186	161396
297	68305	160907
298	68457	160497
299	68819	160578
300	69044	160338
301	69288	160143
302	69464	159792
303	69629	159414
304	69803	159060
305	69972	158695
306	70166	158388
307	70325	158004
308	70507	157671
309	70700	157365
310	71039	157383
311	71225	157061
312	71377	156666
313	71697	156639
314	71923	156405
315	72166	156208
316	72409	156012
317	72678	155870
318	72914	155657
319	73159	155464
320	73379	155216
321	73542	154850
322	73739	154557
323	73922	154234
324	74159	154023
325	74398	153816
326	74618	153573
327	74787	153222
328	74976	152916
329	75130	152537
330	75548	152695
331	75793	152500
332	75948	152125
333	76181	151907
334	76372	151604
335	76663	151501
336	76818	151130
337	77084	150975
338	77281	150686
339	77456	150356
340	77673	150108
341	78088	150240
342	78278	149938
343	78555	149802
344	78753	149517
345	79071	149459
346	79246	149129
347	79661	149250
348	79823	148897
349	79988	148549
350	80236	148358
351	80429	148063
352	80679	147873
353	80810	147468
354	81215	147560
355	81491	147417
356	81719	147186
357	81921	146909
