iter	Passed	Remaining
0	396	395721
1	644	321430
2	898	298538
3	1166	290580
4	1433	285265
5	1748	289604
6	2082	295485
7	2333	289322
8	2490	274254
9	2856	282819
10	3020	271579
11	3230	266011
12	3450	261997
13	3712	261446
14	3887	255301
15	4170	256513
16	4444	257011
17	4609	251464
18	4895	252778
19	5153	252517
20	5302	247199
21	5481	243672
22	5682	241398
23	5835	237301
24	6066	236609
25	6247	234025
26	6415	231208
27	6661	231247
28	6817	228263
29	7021	227017
30	7179	224417
31	7440	225082
32	7684	225187
33	7868	223548
34	8050	221968
35	8338	223280
36	8506	221386
37	8715	220646
38	8938	220261
39	9095	218300
40	9264	216709
41	9519	217143
42	9744	216882
43	9926	215670
44	10120	214771
45	10303	213676
46	10485	212600
47	10653	211299
48	10868	210936
49	11068	210299
50	11305	210364
51	11472	209154
52	11723	209468
53	11967	209644
54	12201	209642
55	12400	209033
56	12642	209153
57	12913	209730
58	13092	208816
59	13353	209198
60	13532	208317
61	13755	208100
62	13967	207739
63	14175	207312
64	14400	207143
65	14639	207164
66	14830	206527
67	15238	208852
68	15558	209924
69	16048	213217
70	16284	213068
71	16478	212386
72	16663	211600
73	16824	210532
74	17062	210439
75	17268	209947
76	17506	209846
77	17781	210192
78	18021	210102
79	18459	212281
80	18722	212418
81	18879	211359
82	19314	213385
83	19543	213118
84	19698	212048
85	19867	211146
86	20047	210378
87	20216	209515
88	20401	208823
89	20619	208487
90	20822	207991
91	21041	207672
92	21209	206848
93	21389	206155
94	21576	205547
95	21813	205411
96	21983	204647
97	22269	204974
98	22800	207505
99	23005	207046
100	23188	206396
101	23383	205868
102	23576	205324
103	23769	204784
104	23996	204539
105	24205	204148
106	24442	203991
107	24608	203244
108	25113	205281
109	25316	204831
110	25592	204966
111	25772	204337
112	25985	203972
113	26275	204215
114	26527	204144
115	26730	203706
116	26920	203167
117	27097	202545
118	27298	202103
119	27576	202226
120	27790	201880
121	28027	201707
122	28232	201303
123	28496	201315
124	28973	202816
125	29147	202180
126	29566	203238
127	29735	202574
128	29917	202001
129	30127	201619
130	30323	201156
131	30553	200909
132	30732	200341
133	30994	200307
134	31193	199869
135	31374	199318
136	31858	200687
137	32252	201458
138	32407	200737
139	32580	200134
140	32766	199619
141	32920	198911
142	33163	198752
143	33335	198162
144	33517	197634
145	33727	197284
146	33918	196818
147	34169	196703
148	34349	196181
149	34506	195538
150	34681	194995
151	35217	196476
152	35391	195925
153	35626	195714
