iter	Passed	Remaining
0	496	496167
1	695	347241
2	847	281810
3	1071	266681
4	1260	250829
5	1496	247838
6	1744	247425
7	2013	249676
8	2233	245902
9	2391	236795
10	2548	229092
11	2671	219938
12	2822	214309
13	2965	208890
14	3113	204427
15	3233	198871
16	3352	193851
17	3516	191821
18	3670	189502
19	3818	187087
20	3957	184489
21	4087	181703
22	4270	181396
23	4418	179674
24	4578	178552
25	4813	180304
26	4951	178446
27	5109	177377
28	5281	176838
29	5508	178107
30	5822	181987
31	5998	181461
32	6186	181284
33	6351	180455
34	6524	179898
35	6774	181402
36	6968	181360
37	7135	180638
38	7273	179227
39	7412	177890
40	7546	176517
41	7695	175538
42	7841	174509
43	7973	173237
44	8117	172268
45	8262	171366
46	8448	171308
47	8579	170161
48	8727	169388
49	8848	168119
50	8989	167277
51	9105	166000
52	9253	165336
53	9398	164646
54	9548	164052
55	9751	164374
56	9896	163727
57	10076	163663
58	10271	163820
59	10463	163921
60	10634	163696
61	10774	163011
62	10914	162327
63	11045	161540
64	11183	160863
65	11364	160818
66	11567	161079
67	11768	161303
68	12036	162400
69	12239	162607
70	12451	162927
71	12667	163275
72	12848	163153
73	13012	162837
74	13223	163093
75	13378	162660
76	13514	161995
77	13645	161297
78	13774	160583
79	13915	160023
80	14043	159335
81	14156	158481
82	14273	157701
83	14406	157094
84	14540	156523
85	14667	155888
86	14813	155457
87	14958	155025
88	15101	154582
89	15245	154145
90	15385	153681
91	15531	153293
92	15675	152876
93	15821	152490
94	15952	151965
95	16084	151464
96	16217	150972
97	16373	150699
98	16520	150350
99	16725	150525
100	16845	149939
101	16992	149598
102	17133	149209
103	17286	148928
104	17428	148555
105	17553	148042
106	17685	147603
107	17820	147184
108	17940	146649
109	18080	146285
110	18218	145911
111	18389	145799
112	18601	146010
113	18839	146419
114	19038	146516
115	19227	146523
116	19409	146481
117	19593	146454
118	19759	146284
119	19931	146165
120	20098	146008
121	20228	145577
122	20368	145226
123	20490	144754
124	20616	144316
125	20776	144116
126	20908	143727
127	21075	143574
128	21245	143448
129	21379	143076
130	21507	142671
131	21645	142333
132	21767	141898
133	21907	141580
134	22041	141227
135	22162	140797
136	22293	140435
137	22429	140106
138	22607	140038
139	22765	139847
140	22919	139631
141	23048	139262
142	23194	139004
143	23331	138694
144	23445	138248
145	23604	138072
146	23740	137756
147	23884	137496
148	24008	137123
149	24144	136816
150	24291	136581
151	24468	136510
152	24607	136224
153	24740	135909
154	24868	135574
155	25011	135319
156	25151	135048
157	25301	134832
158	25440	134564
159	25576	134277
160	25708	133969
161	25842	133678
162	25971	133365
163	26096	133027
164	26285	133018
165	26447	132873
166	26585	132611
167	26720	132328
168	26883	132190
169	27007	131860
170	27154	131644
171	27311	131477
172	27433	131142
173	27542	130746
174	27657	130385
175	27771	130021
176	27902	129738
177	28032	129455
178	28184	129270
179	28319	129011
180	28447	128719
181	28572	128418
182	28700	128132
183	28835	127878
184	28944	127510
185	29077	127252
186	29195	126931
187	29326	126665
188	29456	126398
189	29599	126189
190	29761	126056
191	29883	125757
192	30019	125523
193	30144	125240
194	30277	124991
195	30419	124782
196	30549	124524
197	30708	124386
198	30853	124189
199	30991	123966
200	31127	123733
201	31273	123546
202	31408	123314
203	31487	122861
204	31605	122568
205	31739	122335
206	31876	122116
207	32004	121864
208	32170	121754
209	32313	121558
210	32448	121337
211	32570	121065
212	32705	120840
213	32822	120555
214	32950	120308
215	33139	120284
216	33273	120061
217	33402	119818
218	33526	119562
219	33661	119343
220	33807	119167
221	33945	118961
222	34072	118720
223	34208	118509
224	34336	118269
225	34523	118236
226	34646	117981
227	34793	117811
228	34932	117609
229	35085	117459
230	35222	117255
