iter	Passed	Remaining
0	131	130977
1	192	96118
2	275	91708
3	354	88381
4	432	86060
5	529	87655
6	605	85934
7	684	84889
8	767	84558
9	864	85609
10	944	84926
11	1005	82823
12	1074	81564
13	1147	80800
14	1234	81087
15	1313	80778
16	1401	81062
17	1506	82188
18	1584	81832
19	1662	81452
20	1746	81434
21	1865	82942
22	1976	83951
23	2161	87888
24	2238	87299
25	2319	86873
26	2416	87095
27	2506	87018
28	2586	86602
29	2657	85912
30	2737	85562
31	2808	84969
32	2872	84176
33	2933	83339
34	2993	82537
35	3052	81738
36	3158	82213
37	3231	81800
38	3303	81390
39	3408	81798
40	3482	81465
41	3546	80900
42	3616	80494
43	3726	80967
44	3822	81117
45	3933	81572
46	4077	82671
47	4216	83625
48	4382	85062
49	4542	86310
50	4689	87270
51	4801	87532
52	4912	87773
53	5016	87884
54	5106	87734
55	5196	87596
56	5284	87421
57	5383	87436
58	5505	87806
59	5585	87513
60	5663	87175
61	5729	86677
62	5794	86186
63	5857	85667
64	5922	85187
65	5986	84712
66	6059	84376
67	6125	83949
68	6191	83537
69	6263	83218
70	6321	82717
71	6389	82355
72	6579	83551
73	6682	83625
74	6754	83309
75	6832	83069
76	6896	82667
77	6980	82507
78	7063	82352
79	7134	82051
80	7206	81759
81	7278	81479
82	7349	81193
83	7438	81112
84	7514	80892
85	7588	80646
86	7654	80325
87	7749	80313
88	7912	80992
89	8023	81124
90	8140	81317
91	8292	81846
92	8367	81603
93	8471	81647
94	8563	81580
95	8689	81827
96	8790	81832
97	8879	81727
98	8963	81574
99	9048	81438
100	9127	81244
101	9207	81066
102	9279	80812
103	9365	80691
104	9433	80410
105	9496	80093
106	9566	79843
107	9635	79580
108	9697	79271
109	9763	78993
110	9819	78645
111	9885	78379
112	9954	78138
113	10016	77847
114	10080	77579
115	10143	77301
116	10199	76978
117	10264	76720
118	10329	76470
119	10395	76234
120	10469	76054
121	10533	75809
122	10598	75571
123	10666	75354
124	10734	75143
125	10802	74929
126	10871	74730
127	10939	74525
128	11012	74353
129	11080	74156
130	11143	73923
131	11207	73697
132	11275	73501
133	11338	73278
134	11412	73126
135	11474	72898
136	11540	72699
137	11598	72451
138	11664	72253
139	11725	72028
140	11799	71887
141	11867	71705
142	11929	71495
143	11996	71315
144	12056	71092
145	12128	70941
146	12189	70734
147	12256	70559
148	12315	70340
149	12369	70094
150	12430	69888
151	12502	69751
152	12585	69672
153	12652	69508
154	12715	69321
155	12782	69155
156	12845	68970
157	12905	68773
158	12971	68610
159	13031	68416
160	13103	68285
161	13178	68171
162	13239	67982
163	13307	67833
164	13368	67652
165	13438	67514
166	13503	67353
167	13566	67188
168	13636	67051
169	13711	66944
170	13793	66870
171	13864	66743
172	13926	66572
173	13987	66400
174	14054	66259
175	14127	66141
176	14197	66016
177	14261	65859
178	14324	65702
179	14394	65575
180	14456	65413
181	14519	65259
182	14584	65111
183	14649	64967
184	14715	64829
185	14783	64696
186	14840	64521
187	14906	64383
188	14963	64210
189	15029	64075
190	15092	63926
191	15167	63831
192	15239	63720
193	15299	63562
194	15364	63428
195	15435	63316
196	15498	63176
197	15568	63058
198	15625	62894
199	15694	62779
200	15760	62651
201	15825	62520
202	15887	62376
203	15945	62220
204	16008	62081
205	16075	61960
206	16144	61849
207	16207	61712
208	16261	61545
209	16326	61419
210	16388	61281
211	16452	61154
212	16518	61033
213	16573	60873
214	16637	60747
215	16699	60613
216	16760	60477
217	16823	60347
218	16891	60238
219	16963	60142
220	17077	60196
221	17144	60082
222	17220	60000
223	17278	59858
224	17345	59744
225	17407	59616
226	17479	59521
227	17542	59399
228	17608	59283
229	17670	59159
230	17771	59159
231	17837	59049
232	17914	58972
233	17984	58872
234	18051	58763
235	18118	58656
236	18183	58538
237	18248	58424
238	18318	58327
239	18376	58193
240	18471	58174
241	18529	58038
242	18590	57913
